Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 화성시 우정읍 호곡리 1218,3028,126.7792267,37.11541224,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77912950382098,37.11508580598777],[126.77884804839344,37.1153250397864],[126.77892303122184,37.11535841150883],[126.77892795383362,37.11540641999909],[126.77887023544027,37.11553664937927],[126.77904246528352,37.11563130417937],[126.77926182296166,37.115750736001786],[126.77963904599034,37.11540128309795],[126.77968560423409,37.11535886739633],[126.77912950382098,37.11508580598777]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 688-1,258,126.7789082,37.11605617,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77897480562655,37.11611740498373],[126.77902224513291,37.116039408507845],[126.7788426510087,37.11593874783338],[126.7788026768777,37.115972516418445],[126.77882054786784,37.1159943285021],[126.77875807323356,37.11602339635394],[126.77882801590157,37.11607218474084],[126.77893720490113,37.116143699304054],[126.77897480562655,37.11611740498373]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1137-3,414,126.7711907,37.11430293,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77115883697711,37.11451622407176],[126.77126177023798,37.11453259794301],[126.7712062560681,37.1142317897406],[126.77124710510489,37.11411053287234],[126.77127312801775,37.11408117293507],[126.77122994247688,37.1140525796634],[126.77116758332494,37.114091384163125],[126.7711397175449,37.11416453181803],[126.77112865894692,37.11431265294612],[126.77115883697711,37.11451622407176]]]]}",187499297,12805,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1141-3,882,126.7624739,37.11741347,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76254532276262,37.11692112563048],[126.76247095829275,37.11691476746658],[126.76240645633692,37.11736093014421],[126.76240088431518,37.11761934157468],[126.76241956685473,37.117721631002645],[126.76248659137265,37.117851157670366],[126.76253371742659,37.117871463329315],[126.76257949783677,37.11777931455986],[126.76254115346532,37.11776090982313],[126.7624952476732,37.11754570836492],[126.76250266193861,37.11734901392067],[126.76254532276262,37.11692112563048]]]]}",187499297,12805,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 544-1,1276,126.7676901,37.11484208,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76734690490835,37.11486447642525],[126.76735375395484,37.1148800692055],[126.76738637359844,37.1148903605996],[126.76739973802603,37.11491298546607],[126.76773602620946,37.11503462469105],[126.767969658736,37.11492156104931],[126.76788438416172,37.114859553606],[126.76785093186845,37.114812641799126],[126.76782803820483,37.1147751307825],[126.76784813911061,37.1147365331199],[126.7678962700936,37.114623662583064],[126.7679119117614,37.11455695219051],[126.76777637068743,37.11463651864378],[126.76766578755193,37.114729794169286],[126.76756094168879,37.114717206849214],[126.76746159520678,37.114818776044125],[126.76734690490835,37.11486447642525]]]]}",187499297,12805,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1099-7,1145,126.7651346,37.11598599,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76489313330428,37.116233255699306],[126.7650656969451,37.11625887453528],[126.76538842464004,37.11579495138717],[126.76517293552457,37.11571209351214],[126.76503350024612,37.115956902645394],[126.76498007155917,37.11605310090149],[126.76490125304706,37.116216413152515],[126.76489313330428,37.116233255699306]]]]}",187499297,12805,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 832,2374,126.772675,37.10731786,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77339435639983,37.10764954847803],[126.77333593899193,37.10753906561311],[126.77320830212958,37.1074013546896],[126.77309344127376,37.10732514735992],[126.77295041735042,37.10726152747132],[126.77275213445309,37.10718612312514],[126.77274907429496,37.1071524897714],[126.77274811596122,37.107141954565314],[126.77273798503627,37.10714387229413],[126.77244255422825,37.10714053574244],[126.77216590736259,37.107145948006384],[126.77213478289131,37.10723018169667],[126.77209031169227,37.107375400129776],[126.7722337740573,37.10738296714303],[126.77239663410215,37.107378569382],[126.77250139589732,37.10737114879919],[126.77257891063066,37.10737462336904],[126.77264687020312,37.10738681970105],[126.77273649701327,37.10739924701836],[126.77284966657787,37.10740551138333],[126.77292851573252,37.107429171975696],[126.77309907496682,37.107472156659675],[126.77315817548616,37.10752359468988],[126.77327818467997,37.107616346260095],[126.77339435639983,37.10764954847803]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 324-10,1318,126.7803487,37.12107714,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.78010500185893,37.12140974332655],[126.78010217319866,37.12143055241578],[126.7803079706707,37.12144066792519],[126.7803203661196,37.12141129863423],[126.7803702620593,37.12135600385097],[126.78042223066961,37.121241865004805],[126.78048214657005,37.12104528539708],[126.78048767151641,37.120905902470895],[126.78047777736161,37.12075613767493],[126.78039857700371,37.120747087581705],[126.7803814030073,37.120697875964126],[126.78026525095424,37.12072349253812],[126.780290716173,37.120823521130056],[126.78029877416897,37.12099707036848],[126.78029954917578,37.12101302048968],[126.78027096301122,37.12116185749661],[126.78022382328803,37.121275365541],[126.78016610771797,37.12140770389313],[126.78013304032248,37.121391188893355],[126.78010703761015,37.12139460039275],[126.78010500185893,37.12140974332655]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 254,2988,126.7681859,37.12544035,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76770504687688,37.12507701110334],[126.76768365431157,37.12514682765213],[126.76758858763908,37.12530129707684],[126.76764779608351,37.125328238261936],[126.76776828614054,37.12536300425995],[126.76785804465183,37.12540144895225],[126.76808349168653,37.12550913649505],[126.76817876017569,37.125559972276534],[126.76826224710032,37.12562544495577],[126.76843176064352,37.12573931114198],[126.76857950279114,37.12584133050464],[126.76860977665817,37.12586224037029],[126.76863562949474,37.12589005263008],[126.76866885415669,37.125858716145935],[126.76865159494449,37.12573657138957],[126.76861635786766,37.12557998906661],[126.76860146812466,37.1254484689773],[126.76806678741951,37.12522492912656],[126.7678959922079,37.12515151722178],[126.76770504687688,37.12507701110334]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 243,840,126.7700115,37.12659114,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77047919930787,37.126745605988965],[126.77035411638602,37.12668803712695],[126.77024346658182,37.1266172327708],[126.77012424903181,37.126551565619685],[126.76992144681353,37.12645177438306],[126.76983292657837,37.12641612694373],[126.76982451300333,37.12649983644849],[126.7697828157621,37.126564144283755],[126.76992395448413,37.126648118963764],[126.77001161703772,37.1266514168189],[126.77007652649927,37.126665608993704],[126.7701759738488,37.12669756522862],[126.77035290153789,37.12678039279877],[126.77044548201974,37.12681325449417],[126.77047919930787,37.126745605988965]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1159-9,540,126.7658797,37.11311082,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76606869918358,37.1128619435506],[126.76591697389402,37.11302709411578],[126.76574804492668,37.11318502886071],[126.76556458680457,37.113358531730114],[126.76563745817829,37.113395439791965],[126.76567531749738,37.11334121745957],[126.76578162797891,37.11323992488717],[126.766080379064,37.11298872731122],[126.76616709647669,37.11290327209155],[126.76606869918358,37.1128619435506]]]]}",187499297,12805,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1192-1,1454,126.7725159,37.12606344,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77211395291373,37.126015772665006],[126.77229498646244,37.12627467127611],[126.77237915009363,37.12616560817198],[126.77290595680941,37.1261101470144],[126.7728293202773,37.12593931252707],[126.77270501438082,37.12595243533894],[126.77255659286509,37.12595450958207],[126.77244746796339,37.12592254565401],[126.7723345918975,37.12593670835046],[126.77211395291373,37.126015772665006]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 279-1,1005,126.7697735,37.12451129,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.76978042449787,37.12421077513526],[126.76967988496645,37.12425764967632],[126.76967014206703,37.12432711994204],[126.76966645004443,37.124416046792106],[126.7696960189506,37.12455365957023],[126.76969696256889,37.124624304077685],[126.76971861646723,37.124693250039336],[126.76971967404702,37.12475974090724],[126.76970338883672,37.124838037722455],[126.76972191132147,37.124882198564976],[126.7697841570471,37.12486899364276],[126.76982651367221,37.124816941414586],[126.76983406977983,37.12480775641474],[126.7698429525024,37.124699268806935],[126.76988087521661,37.12424102158364],[126.76978042449787,37.12421077513526]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 964-1,2287,126.7735887,37.11095522,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77300840165687,37.11098766222924],[126.77412444708955,37.11112511020995],[126.77416470076592,37.110918611173766],[126.77304717973405,37.11078647696215],[126.77300840165687,37.11098766222924]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 997-1,1159,126.7763526,37.10922484,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77689879089591,37.10934751289915],[126.7769196873052,37.10924701255638],[126.77580698641815,37.1091008930304],[126.77578815504786,37.109202613535025],[126.77689879089591,37.10934751289915]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 972,372,126.7745449,37.11341576,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77486096989193,37.11339702004756],[126.77453425189246,37.11337349026334],[126.77453605441845,37.11338024262432],[126.77459488572745,37.11350868363879],[126.77483259549687,37.11353639523969],[126.77486096989193,37.11339702004756]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1004,2700,126.7760298,37.11088876,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7754959717494,37.11069720743481],[126.77544995800812,37.1109389272669],[126.77656646451351,37.11107771374402],[126.77661269856341,37.11084021985256],[126.7754959717494,37.11069720743481]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 949-2,3733,126.7742814,37.10764234,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77380887462394,37.10739681471992],[126.77379713408415,37.1075606133593],[126.77379498619605,37.10756782670172],[126.77378493851319,37.107602056585115],[126.77375588899062,37.10763258267188],[126.77373907765042,37.10768258607962],[126.77372764973255,37.10774943157038],[126.7736995941327,37.10779365561816],[126.77381751722145,37.10777561767365],[126.77476536652192,37.1078765591201],[126.77483713416105,37.10752474344449],[126.7738302462381,37.107398081192336],[126.77380887462394,37.10739681471992]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 989,4061,126.7763882,37.10746143,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77605418286049,37.10802248275382],[126.77687339082124,37.10743006060309],[126.77635337912065,37.10696012821972],[126.7762154701175,37.1070718677],[126.77603191684973,37.10801165476649],[126.77605418286049,37.10802248275382]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1020-1,8156,126.7750653,37.11557273,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77462397357846,37.11514420103623],[126.77457969503439,37.11533798748831],[126.77456659735356,37.11538735830374],[126.77453153781858,37.11545527586198],[126.77445252059209,37.11560931325495],[126.77443864056612,37.11565688044405],[126.77443366897451,37.11568274023583],[126.7744045808893,37.115860859301286],[126.7754852628041,37.11600431786894],[126.7756719222197,37.11551649950384],[126.77572367576437,37.11527496190662],[126.77462397357846,37.11514420103623]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1015,1502,126.7754075,37.11403275,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.774864780469,37.11389656384039],[126.77483765586787,37.11403179655255],[126.77595319316971,37.114167072824635],[126.77598133140765,37.11403463505935],[126.774864780469,37.11389656384039]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1017-1,2340,126.7753054,37.11457058,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77476249406403,37.11440289694988],[126.77472235722996,37.11460408005971],[126.77583509313114,37.114742055251725],[126.77587951510125,37.11452906707532],[126.77476249406403,37.11440289694988]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 975-1,2058,126.7744851,37.11249045,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77501173766623,37.112651756181954],[126.77505353135442,37.11245652304074],[126.77393734623726,37.1123361044904],[126.77389645586314,37.112510524571725],[126.77501173766623,37.112651756181954]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1013-2,1374,126.7754329,37.1139052,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7748896509183,37.11377394159636],[126.774864780469,37.11389656384039],[126.77598133140765,37.11403463505935],[126.77600495366484,37.11391498369285],[126.7748896509183,37.11377394159636]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1140-15,552,126.7738045,37.11351961,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77383818384294,37.11370303266547],[126.77389451068596,37.11350258372923],[126.773909191661,37.11333022184623],[126.77387243361694,37.113289117188664],[126.77381560957843,37.11330241580416],[126.77381677845399,37.11337423222469],[126.77364394444159,37.113631557224544],[126.77368746314583,37.11365807783108],[126.7737881268097,37.11368823130853],[126.77383818384294,37.11370303266547]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 870-2,145,126.7716513,37.11218515,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77151054668286,37.112311653060914],[126.77149935274704,37.11237092986169],[126.77155640140273,37.11230929112007],[126.77160010015237,37.11225715063219],[126.77167479826083,37.112211422662824],[126.7717598863538,37.11211546286682],[126.77175534434117,37.11209572994379],[126.77179357055563,37.11204875084216],[126.77175628187808,37.11205725665552],[126.77171858799123,37.11206209437269],[126.77159344610646,37.112210336866895],[126.77151054668286,37.112311653060914]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1114-2,2994,126.7763185,37.11468062,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7761949038621,37.11524910591032],[126.77649475459414,37.11462493715906],[126.77655541977805,37.11448098241648],[126.77660878382875,37.11444316720452],[126.77665593325185,37.11418595105321],[126.77641134539975,37.11416994377917],[126.77636313733161,37.11422200538004],[126.7763281647594,37.11432587578787],[126.77620473993588,37.1145799013267],[126.77608919168026,37.11481824530392],[126.77605175941426,37.11491283907687],[126.7760441975971,37.11505736308345],[126.77599636337129,37.11519555717263],[126.77610862985141,37.11522581183776],[126.7761949038621,37.11524910591032]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 746-2,694,126.7760187,37.11445019,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77587892924025,37.114791002938325],[126.77593068787318,37.11479770615543],[126.77599111085945,37.11466753740354],[126.77614687291123,37.11436406052609],[126.77614047085343,37.11435270406277],[126.77611819868281,37.11422563985754],[126.77601761428261,37.1140961020241],[126.77600258676983,37.11417060880484],[126.77601147149635,37.1141756626047],[126.77601302219868,37.11419909301152],[126.77599779009331,37.114251523527784],[126.77598602899634,37.11430963729637],[126.77601831281234,37.11431587092723],[126.7760349397404,37.11435462993357],[126.77602781505551,37.11438967647629],[126.77602476319896,37.11440958401134],[126.77598488887811,37.11445128113741],[126.77595212011292,37.11447955702089],[126.77593748746044,37.11449675737677],[126.77587892924025,37.114791002938325]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 993-1,561,126.7778824,37.10870527,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7775992417991,37.10883719946022],[126.7777075789948,37.10889223328767],[126.77815941124724,37.10856918223172],[126.7780858373649,37.108506654449045],[126.7775992417991,37.10883719946022]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 993-2,1771,126.7777142,37.10858268,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7780858373649,37.108506654449045],[126.77785667611465,37.10830463799517],[126.77731574211325,37.108696026849074],[126.7775992417991,37.10883719946022],[126.7780858373649,37.108506654449045]]]]}",187499297,12807,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 1131-9,930,126.7776452,37.11148776,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77747707742282,37.11110859583923],[126.77753484814666,37.111300287614725],[126.77757982339028,37.11145880532457],[126.77765153420329,37.111788186764976],[126.7778000867765,37.11198839351922],[126.77775280724538,37.11176769866187],[126.77773589191334,37.11168154376389],[126.77769507494332,37.11140588760967],[126.77767129725734,37.11119340963815],[126.77747707742282,37.11110859583923]]]]}",187499297,12803,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 324-9,661,126.7801659,37.12073566,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77994883087761,37.12061060318885],[126.78005759214193,37.12066544635657],[126.78011628431221,37.12071926785863],[126.7801769302844,37.12084409612259],[126.7801889647319,37.12098511569065],[126.78029877416897,37.12099707036848],[126.780290716173,37.120823521130056],[126.78026525095424,37.12072349253812],[126.78025683950091,37.120690777551225],[126.7801491566644,37.1205669157544],[126.78005761654389,37.120502535629086],[126.77994883087761,37.12061060318885]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
경기도 화성시 우정읍 호곡리 381-9,947,126.7778492,37.11999589,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.77729857079659,37.11977212719045],[126.77729138591263,37.119884844623655],[126.77735934107797,37.119887315852125],[126.7774233695392,37.11988969852564],[126.77762349954715,37.119939093987256],[126.77782067104728,37.12002273263823],[126.77786789263533,37.12006214376414],[126.77787506517618,37.120224959944395],[126.77801345120159,37.1202415299723],[126.77793425185588,37.11996837895651],[126.77789094778161,37.11995132141425],[126.7776652339425,37.11982044974667],[126.77745878814974,37.11978375631021],[126.77729857079659,37.11977212719045]]]]}",187499297,12804,DONE,8/4/23 9:00,8/5/23 9:00,8/1/23 23:05
