Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 김포시 고촌읍 태리 365-1,2436,126.7398758,37.60269155,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74026634827675,37.60302427041692],[126.73973320021199,37.602250291033194],[126.73948411557593,37.60235874794854],[126.74002042607493,37.603131374966345],[126.74026634827675,37.60302427041692]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 509-1,4856,126.7347298,37.59352623,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.73518869121733,37.59386600829738],[126.73535576713392,37.59344502296639],[126.73426594428571,37.59318507789597],[126.73410837581052,37.59360875914939],[126.73518869121733,37.59386600829738]]]]}",187135255,12826,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 147-14,1194,126.7512035,37.59208385,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.75082372831682,37.59227768949195],[126.75089420156947,37.59234516054581],[126.75101588409578,37.59226853801801],[126.75120232640585,37.59219378259804],[126.75140288863327,37.59205450141258],[126.7514433206682,37.59206511055221],[126.75159298387447,37.59184531752265],[126.75115266748381,37.59196986424201],[126.75107722822572,37.59202606065859],[126.75102817573861,37.59209432311967],[126.75099890576458,37.59213504847545],[126.75082372831682,37.59227768949195]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 575-5,1947,126.7402616,37.59328238,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74004477729542,37.59372310369642],[126.74024764031775,37.59375548369886],[126.74048190935989,37.59284892935539],[126.74026607612231,37.5928155660072],[126.74004477729542,37.59372310369642]]]]}",187135255,12730,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 803-3,3157,126.749906,37.58797232,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.75007142581282,37.58821519944859],[126.75045854411681,37.58767528044146],[126.75031928829893,37.587683624613256],[126.7501354255828,37.58769468470281],[126.74976605888254,37.58761913395919],[126.74955524036069,37.58760272774904],[126.74974551663914,37.587717801850346],[126.74965049206973,37.587868477755435],[126.74961983887388,37.58790668610591],[126.74951450397478,37.58803583342982],[126.74975876348802,37.588114487876055],[126.75007142581282,37.58821519944859]]]]}",187135255,12819,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 453,4056,126.7406149,37.59642103,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74100242248042,37.59680834458389],[126.74099619290624,37.59679258167787],[126.7406494031355,37.59592244062476],[126.74022901875878,37.59602761038001],[126.7405756839388,37.596915952195914],[126.74100242248042,37.59680834458389]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 679-2,661,126.7476599,37.58876681,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74763411831286,37.5891017742181],[126.74778174149702,37.58846050174698],[126.74768480517233,37.588422515127654],[126.74753662212603,37.58908838310634],[126.74763411831286,37.5891017742181]]]]}",187135255,12730,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 368-2,2116,126.7412096,37.60211208,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74158357172944,37.60245103767512],[126.74105357127128,37.60167770178379],[126.74083471920656,37.60177192070517],[126.74136698388014,37.602544983251086],[126.74158357172944,37.60245103767512]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 676,2757,126.7498307,37.59014229,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74951975546236,37.59037543457021],[126.75001922842534,37.590455173609634],[126.75013013319456,37.58996680695044],[126.74999307559855,37.58987243437062],[126.74983069001593,37.58983861673726],[126.74965575308262,37.58982345848238],[126.74951975546236,37.59037543457021]]]]}",187135255,12730,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 402-1,2539,126.7435027,37.59868982,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.74352986459317,37.59915092440565],[126.74380725926275,37.59908019971654],[126.74347063266475,37.598225370057555],[126.74320014385532,37.598294108905634],[126.74352986459317,37.59915092440565]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 511-2,1964,126.735214,37.59213835,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.73578063119619,37.592361206919755],[126.7357727875905,37.5922648021986],[126.73575929312679,37.59222912896582],[126.73573845618176,37.59220769273578],[126.73564038498178,37.592148520616945],[126.73549271470381,37.59210999527278],[126.73522604722073,37.592038342533144],[126.73505335392694,37.59200622022746],[126.73478349123846,37.59191636844603],[126.73474034985053,37.59191052268526],[126.73466433485213,37.592105512595005],[126.73578063119619,37.592361206919755]]]]}",187135255,12826,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 445-4,149,126.7364048,37.59723007,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.73650809436266,37.597148866291285],[126.73628755216885,37.597246046309486],[126.73633560234234,37.597315007265195],[126.73639957478878,37.59726871439532],[126.73649844191881,37.597204498236955],[126.73653472657267,37.59718738897687],[126.73650809436266,37.597148866291285]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 36-6,698,126.7540516,37.59946937,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.75357586327459,37.59948721282338],[126.75358268471781,37.59951658112353],[126.7537558177461,37.5995057004319],[126.75401061178464,37.599507126973144],[126.75430201474657,37.599570527063506],[126.75433795809266,37.5994742874388],[126.75436694846213,37.599460220759525],[126.75436953446405,37.59944184615538],[126.75396635457871,37.59936461604146],[126.75393037090845,37.59941138258526],[126.75391985894859,37.59942949728845],[126.75381025123416,37.59945459389451],[126.75357586327459,37.59948721282338]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 483-2,2592,126.735728,37.59609323,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7364037289597,37.596413773469465],[126.73518779586668,37.59563600283425],[126.73505203202424,37.595771861764845],[126.73623925884807,37.59653109914936],[126.7364037289597,37.596413773469465]]]]}",187135255,12730,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 685-1,1861,126.7448867,37.59537384,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.7452166140967,37.59550369605768],[126.74523139506456,37.5954166572734],[126.74531433200139,37.595279680864216],[126.74502659105757,37.59525833337294],[126.74494664214637,37.59525042919321],[126.74472084253921,37.59522490888787],[126.74467226384826,37.59521231558291],[126.74450914045319,37.59530147305487],[126.7444485880878,37.595375915455406],[126.74443163124901,37.59542700923923],[126.74458066664306,37.59545047997205],[126.74470862408268,37.59547223784308],[126.7447775891792,37.595483569053705],[126.74492073441682,37.595510999874875],[126.74515898616062,37.59554110581092],[126.7452166140967,37.59550369605768]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
경기도 김포시 고촌읍 태리 38-1,367,126.7542099,37.59921265,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.75438343188432,37.59930240451584],[126.75442510014041,37.599310321281706],[126.75442710951535,37.59926085260208],[126.75434782370517,37.599228899973355],[126.75419297993952,37.5991575152122],[126.75411445880917,37.59909303860111],[126.75402842223728,37.59911983361243],[126.75398334945932,37.59912444221746],[126.75415679937932,37.599246726646186],[126.75417516837545,37.599280416794656],[126.7542304315007,37.59928985774649],[126.75434911637231,37.59929683667455],[126.75438343188432,37.59930240451584]]]]}",187135255,12729,DONE,7/23/23 9:00,7/23/23 9:00,7/21/23 21:31
