Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 화성시 양감면 용소리 813-1,2282,126.9803554,37.08243084,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98017343867922,37.0821637986814],[126.98008450869648,37.082777145168464],[126.98043655115026,37.08265009528109],[126.98073401565719,37.0822242063035],[126.98017343867922,37.0821637986814]]]]}",186696260,12411,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 1001-5,1946,126.9912429,37.10225114,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.9911248285876,37.10269585564064],[126.99134924629656,37.102691531960666],[126.99135678951261,37.101802835280914],[126.99114107108562,37.10180080726401],[126.9911248285876,37.10269585564064]]]]}",186696260,12385,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 151,3946,126.9888219,37.08824492,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98924867266157,37.087899967815446],[126.98822697128149,37.088238558061114],[126.98840210208121,37.08858018815373],[126.98941884963699,37.08822600754205],[126.98924867266157,37.087899967815446]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 154,393,126.9725588,37.1013993,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97261515690404,37.10154109251568],[126.97262208648925,37.101511530426755],[126.97265055993269,37.1014487875427],[126.97262522350113,37.1013674517034],[126.9725940639946,37.10130512680376],[126.97256021785279,37.10117865477871],[126.97251441178861,37.10123466249016],[126.97249654142729,37.10131054539224],[126.97249634944478,37.101460031193625],[126.97248975471202,37.101555370733394],[126.97261515690404,37.10154109251568]]]]}",186696260,12386,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 106-4,559,126.9711347,37.10633897,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97103840545473,37.10647175539627],[126.97103922007243,37.106488335094504],[126.97121121204943,37.10654383934719],[126.9711654186419,37.10647288725124],[126.97120226419604,37.10644094511327],[126.9712421076674,37.10631052696866],[126.97122970849546,37.10622970780289],[126.97119890440885,37.106176762705296],[126.97108006675529,37.1061568819414],[126.97105431936451,37.10623124876146],[126.97103840545473,37.10647175539627]]]]}",186696260,12386,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 사창리 872-1,440,126.9679962,37.09070771,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.9680641812913,37.09101366900999],[126.9680387244288,37.090995036887755],[126.96805484226867,37.09094447386027],[126.96802873568355,37.090868723260144],[126.96800003436337,37.09078513268466],[126.96800374284422,37.09071593220263],[126.96802485226056,37.09061966874227],[126.96807412042237,37.09048482074748],[126.96813406058291,37.09040564332029],[126.9681409625589,37.09036373688512],[126.96805886503249,37.09044149340363],[126.96800095874265,37.090524906356436],[126.96795326238738,37.09058938185343],[126.96790264971835,37.09066079467864],[126.96789869060076,37.0907115323352],[126.9679437711162,37.09084033383106],[126.96800396704674,37.09092209515366],[126.96800786260899,37.09096452724245],[126.9679821746611,37.091010960697],[126.96803170007512,37.09103361836081],[126.9680641812913,37.09101366900999]]]]}",186696260,12407,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 534,2991,126.9884355,37.08614899,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98827237021794,37.08659536820502],[126.9886112698608,37.086594648632556],[126.98859915068452,37.0857009736969],[126.98825891611074,37.085704639560234],[126.98827237021794,37.08659536820502]]]]}",186696260,12409,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 657-1,1116,126.9846071,37.08486589,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98411262323138,37.08470226681198],[126.98414446637895,37.08483612431587],[126.98434129750935,37.084840216750685],[126.98451346510383,37.08489065598468],[126.98451909942625,37.08489235979973],[126.98479082001762,37.08501665491614],[126.98478394810452,37.08476076120362],[126.98473645580067,37.08474567972345],[126.9847320693927,37.08474622875149],[126.98462749298726,37.08475896395364],[126.98452723348981,37.08472962006103],[126.98412922848968,37.084680977137495],[126.98411262323138,37.08470226681198]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 762,2965,126.9822471,37.08310955,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98168091121791,37.08297765687603],[126.98263866556128,37.083466080958694],[126.98280802994026,37.08323579613536],[126.98185793447658,37.08275458317289],[126.98168091121791,37.08297765687603]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 892-1,2238,126.9741951,37.07454439,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97402318095473,37.07497452475041],[126.97415990768786,37.0749617251939],[126.9743049232587,37.07488316772811],[126.97436747187005,37.07475267193763],[126.97438036042801,37.074591096077874],[126.97438124367055,37.07444764687762],[126.97433601981234,37.0743074850181],[126.9741362683405,37.074151996530325],[126.97407537450671,37.07412187791333],[126.97399563582645,37.074116651298915],[126.97397012801008,37.074126142597294],[126.97399350548426,37.07425496414952],[126.97408127291004,37.07448041268907],[126.97411239979665,37.07466887743178],[126.97402318095473,37.07497452475041]]]]}",186696260,12412,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
