Package                       Version
----------------------------- --------------------
absl-py                       2.0.0
actionlib                     1.14.0
aiohttp                       3.8.4
aiosignal                     1.3.1
angles                        1.9.13
astroid                       2.15.0
async-timeout                 4.0.2
attrs                         23.1.0
autopep8                      1.6.0
bidict                        0.22.1
blinker                       1.6.2
bondpy                        1.8.6
Bottleneck                    1.3.5
camera-calibration            1.17.0
camera-calibration-parsers    1.12.0
catkin                        0.8.10
certifi                       2023.5.7
cfgv                          3.3.1
charset-normalizer            3.1.0
click                         8.1.6
colorama                      0.4.6
contourpy                     1.1.1
controller-manager            0.19.6
controller-manager-msgs       0.19.6
cv-bridge                     1.16.2
cycler                        0.11.0
diagnostic-analysis           1.11.0
diagnostic-common-diagnostics 1.11.0
diagnostic-updater            1.11.0
dill                          0.3.6
distlib                       0.3.6
docstring-to-markdown         0.11
dynamic-reconfigure           1.7.3
exceptiongroup                1.1.3
filelock                      3.12.2
flake8                        6.0.0
Flask                         2.3.2
Flask-SocketIO                5.3.4
fonttools                     4.42.1
frozenlist                    1.3.3
gazebo_plugins                2.9.2
gazebo_ros                    2.9.2
gencpp                        0.7.0
geneus                        3.0.0
genlisp                       0.4.18
genmsg                        0.6.0
gennodejs                     2.0.2
genpy                         0.6.15
gitdb                         4.0.10
GitPython                     3.1.36
identify                      2.5.24
idna                          3.4
image-geometry                1.16.2
importlib-metadata            6.8.0
importlib-resources           6.1.0
iniconfig                     2.0.0
install                       1.3.5
interactive-markers           1.12.0
isort                         5.12.0
itsdangerous                  2.1.2
jedi                          0.18.2
jieba                         0.42.1
Jinja2                        3.1.2
joblib                        1.3.2
joint-state-publisher         1.15.1
joint-state-publisher-gui     1.15.1
k-means-constrained           0.7.3
kiwisolver                    1.4.4
laser_geometry                1.6.7
lazy-object-proxy             1.9.0
Markdown                      3.4.4
MarkupSafe                    2.1.3
matplotlib                    3.7.3
mccabe                        0.7.0
message-filters               1.16.0
moveit-commander              1.1.13
moveit-core                   1.1.13
moveit-ros-planning-interface 1.1.13
moveit-ros-visualization      1.1.13
mpmath                        1.3.0
multidict                     6.0.4
munkres                       1.1.4
networkx                      3.1
nodeenv                       1.8.0
numexpr                       2.8.4
numpy                         1.24.3
openai                        0.28.1
opencv-python                 4.8.0.76
ortools                       9.7.2996
packaging                     23.0
pandas                        2.0.3
parso                         0.8.3
Pillow                        9.5.0
pip                           23.3.1
platformdirs                  3.5.3
pluggy                        1.2.0
pre-commit                    3.3.3
protobuf                      4.24.4
py-cpuinfo                    9.0.0
pycodestyle                   2.10.0
pydocstyle                    6.2.3
pyflakes                      3.0.1
pygame                        2.5.1
pylint                        2.17.0
pyparsing                     3.0.9
PySocks                       1.7.1
pytest                        7.4.3
python-dateutil               2.8.2
python-engineio               4.5.1
python-lsp-jsonrpc            1.0.0
python-lsp-server             1.7.1
python-qt-binding             0.4.4
python-socketio               5.8.0
pytoolconfig                  1.2.5
pytz                          2023.3.post1
PyYAML                        6.0
qt-dotgraph                   0.4.2
qt-gui                        0.4.2
qt-gui-cpp                    0.4.2
qt-gui-py-common              0.4.2
regex                         2023.6.3
requests                      2.31.0
resource_retriever            1.12.7
retrying                      1.3.4
rope                          1.7.0
rosbag                        1.16.0
rosboost-cfg                  1.15.8
rosclean                      1.15.8
roscreate                     1.15.8
rosgraph                      1.16.0
roslaunch                     1.16.0
roslib                        1.15.8
roslint                       0.12.0
roslz4                        1.16.0
rosmake                       1.15.8
rosmaster                     1.16.0
rosmsg                        1.16.0
rosnode                       1.16.0
rosparam                      1.16.0
rospy                         1.16.0
rosservice                    1.16.0
rostest                       1.16.0
rostopic                      1.16.0
rosunit                       1.15.8
roswtf                        1.16.0
rqt_action                    0.4.9
rqt_bag                       0.5.1
rqt_bag_plugins               0.5.1
rqt_console                   0.4.11
rqt_dep                       0.4.12
rqt_graph                     0.4.14
rqt_gui                       0.5.3
rqt_gui_py                    0.5.3
rqt-image-view                0.4.17
rqt_launch                    0.4.9
rqt_logger_level              0.4.11
rqt-moveit                    0.5.10
rqt_msg                       0.4.10
rqt_nav_view                  0.5.7
rqt_plot                      0.4.13
rqt_pose_view                 0.5.11
rqt_publisher                 0.4.10
rqt_py_common                 0.5.3
rqt_py_console                0.4.10
rqt-reconfigure               0.5.5
rqt-robot-dashboard           0.5.8
